state,month,Rt_mean,Rt_median,Re_price,CPI_1mo,CPI_12mo,Ur_rate
Illinois,20-Jun,1.094728177,1.094387615,210319,0.008,0.004,0.142
Indiana,20-Jun,1.081699917,1.079949807,162419,0.008,0.004,0.101
Iowa,20-Jun,1.058594129,1.057091391,155486,0.008,0.004,0.071
Kansas,20-Jun,1.060848911,1.06407082,158564,0.008,0.004,0.07
Kentucky,20-Jun,1.167748557,1.168358197,152677,0.006,0.003,0.057
Louisiana,20-Jun,1.015167709,1.01501134,174319,0.006,0.003,0.094
Maine,20-Jun,0.922168738,0.921079338,255653,0.003,0.008,0.053
Maryland,20-Jun,1.067710345,1.070834881,319934,0.006,0.003,0.086
Massachusetts,20-Jun,1.058850167,1.058232103,440195,0.003,0.008,0.148
Michigan,20-Jun,1.043232758,1.042967038,180710,0.008,0.004,0.141
Minnesota,20-Jun,1.056903495,1.054435129,268105,0.008,0.004,0.089
Mississippi,20-Jun,1.118344712,1.117196416,129720,0.006,0.003,0.096
Missouri,20-Jun,1.175545843,1.175434124,170047,0.008,0.004,0.081
Montana,20-Jun,1.218840395,1.214499426,301037,0.004,0.012,0.076
Nebraska,20-Jun,1.069444833,1.068737986,183557,0.008,0.004,0.066
Nevada,20-Jun,1.059287475,1.054296049,315415,0.004,0.012,0.154
New Hampshire,20-Jun,1.026986749,1.023478976,305927,0.003,0.008,0.103
New Jersey,20-Jun,0.994157879,0.991060724,349069,0.003,0.008,0.163
New Mexico,20-Jun,1.007999995,1.007109444,212430,0.004,0.012,0.098
New York,20-Jun,1.010497688,1.007150606,330643,0.003,0.008,0.15
North Carolina,20-Jun,0.987627255,0.988857148,214138,0.006,0.003,0.088
North Dakota,20-Jun,1.148682872,1.147461341,234512,0.008,0.004,0.062
Ohio,20-Jun,1.008457092,1.006811599,157133,0.008,0.004,0.103
Oklahoma,20-Jun,1.066455481,1.065828343,135928,0.006,0.003,0.082
Oregon,20-Jun,1.07640935,1.075404721,377299,0.004,0.012,0.103
Pennsylvania,20-Jun,1.031042852,1.02990683,201277,0.003,0.008,0.133
Rhode Island,20-Jun,1.19335998,1.187623414,312304,0.003,0.008,0.109
South Carolina,20-Jun,0.976175869,0.973256282,197510,0.006,0.003,0.077
South Dakota,20-Jun,0.972021131,0.972606142,219300,0.008,0.004,0.061
Tennessee,20-Jun,1.035197043,1.031910521,196820,0.006,0.003,0.093
Texas,20-Jun,1.121604099,1.121625653,213439,0.006,0.003,0.102
Utah,20-Jun,0.979382747,0.978573097,366455,0.004,0.012,0.063
Vermont,20-Jun,0.954431483,0.952635079,263248,0.003,0.008,0.077
Virginia,20-Jun,1.086225329,1.086266487,293023,0.006,0.003,0.088
Washington,20-Jun,1.041675164,1.040332681,435031,0.004,0.012,0.108
West Virginia,20-Jun,1.083160926,1.084628587,108833,0.006,0.003,0.105
Wisconsin,20-Jun,1.093473493,1.093743124,201025,0.008,0.004,0.086
Wyoming,20-Jun,1.078045779,1.074219799,255047,0.004,0.012,0.074
Alabama,20-Mar,1.014886685,1.013430982,148393,-0.001,0.011,0.026
Alaska,20-Mar,0.774869193,0.773879863,283698,-0.002,0.025,0.051
Arizona,20-Mar,1.082352399,1.079318576,274114,-0.002,0.025,0.05
Arkansas,20-Mar,1.141752803,1.136744311,133014,-0.001,0.011,0.039
California,20-Mar,1.073588057,1.071352247,576716,-0.002,0.025,0.045
Colorado,20-Mar,1.030346082,1.029956549,411621,-0.002,0.025,0.047
Connecticut,20-Mar,1.197399137,1.195344654,260910,-0.02,0.017,0.038
